
date,id,num,difficulty,submit,,Put your passwords for Luogu here.
1735317706.0925303,CF2048I1,1,7,can
1735317709.0844114,CF2048I2,1,7,can
1735317714.1167312,CF2049A,0,2,cannot
1735317717.412166,CF2049B,5,3,can
1735317722.1881773,CF2049C,6,3,can
1735317726.3144848,CF2049D,8,4,can
1735317729.400865,CF2049E,3,5,can
1735317733.9252746,CF2049F,3,0,can
1735317738.3249707,CF2050A,0,1,cannot
1735317743.7897089,CF2050B,6,2,cannot
1735317752.1454024,CF2050C,11,2,cannot
1735317759.238466,CF2050D,5,3,cannot
1735317763.4439695,CF2050E,6,3,can
1735317767.0278609,CF2050F,6,3,can
1735317770.7521675,CF2050G,3,4,can
1735317775.8146763,CF2051A,0,0,cannot
1735317781.5639215,CF2051B,15,0,can
1735317786.0408852,CF2051C,8,0,can
1735317790.4690483,CF2051D,7,0,can
1735317793.9265823,CF2051E,5,0,can
1735317797.5203652,CF2051F,2,0,can
1735317801.140643,CF2051G,3,0,can
1735317805.8053176,CF2052A,0,0,cannot
1735317809.4949284,CF2052D,1,0,can
1735317812.251456,CF2052E,1,0,can
1735317815.6719732,CF2052F,1,0,can
1735317818.0307407,CF2052G,0,0,can
1735318199.1840408,CF2048G,7,6,can
1735318531.2637901,CF2037D,7,3,can
1735318543.318496,CF2037E,4,4,can
1735318555.1856284,CF2037F,7,4,can
1735318566.0677676,CF2037G,9,4,can
1735318579.0623953,CF2038A,0,3,cannot
1735318587.3417962,CF2038B,7,5,can
1735318604.6511967,CF2038C,5,3,cannot
1735318613.190322,CF2038D,6,6,can
1735318620.8241131,CF2038E,1,6,can
1735318631.3319316,CF2038F,8,6,can
1735318641.5050507,CF2038G,12,4,can
1735318649.3604965,CF2038H,1,7,can
1735318661.3642402,CF2038I,11,4,can
1735318676.0974162,CF2038J,20,1,cannot
1735318684.8120558,CF2038K,3,5,can
1735318698.7870333,CF2038L,6,2,cannot
1735318706.2187083,CF2038M,1,6,can
1735318721.667848,CF2038N,11,1,cannot
1735318734.1075168,CF2039A,0,1,cannot
1735318748.040219,CF2039B,12,2,cannot
1735318762.5665054,CF2039C1,10,2,cannot
1735318771.5790033,CF2039C2,9,4,can
1735318782.0204968,CF2039D,12,4,can
1735318791.8658657,CF2039E,7,5,can
1735318800.078075,CF2039F1,2,6,can
1735318809.64502,CF2039F2,6,0,can
1735318817.3322527,CF2039G,1,0,can
1735318824.9391227,CF2039H1,1,0,can
1735318832.6130197,CF2039H2,1,0,can
1735318845.0367095,CF2040A,0,0,cannot
1735318858.384498,CF2040B,7,0,cannot
1735318867.475454,CF2040C,7,0,can
1735319516.8654778,CF2030G2,2,0,can
1735319529.6544452,CF2031A,0,1,cannot
1735319543.9158645,CF2031B,12,2,cannot
1735319560.5587018,CF2031C,12,3,cannot
1735319575.0926008,CF2031D,14,3,cannot
1735319584.5350626,CF2031E,11,4,can
1735319593.9860535,CF2031F,2,6,can
1735319606.474418,CF2032A,0,2,cannot
1735319620.1667242,CF2032B,7,2,cannot
1735319628.532024,CF2032C,8,3,can
1735319636.8982008,CF2032D,6,4,can
1735319652.8048909,CF2032E,14,5,cannot
1735319661.5275073,CF2032F,6,6,can
1735319673.9070694,CF2033A,0,1,cannot
1735319687.8336966,CF2033B,11,2,cannot
1735319703.4472613,CF2033C,10,3,cannot
1735319717.862514,CF2033D,9,3,cannot
1735319726.758691,CF2033E,6,3,can
1735319735.0671473,CF2033F,7,4,can
1735319745.957806,CF2033G,12,5,can
1735319761.1882753,CF2034A,0,1,cannot
1735319777.60728,CF2034B,9,2,cannot
1735319802.7000139,CF2034C,7,3,can
1735319816.1927192,CF2034D,2,4,can
1735319824.9975972,CF2034E,4,5,can
1735319839.5318766,CF2034F1,1,5,can
1735319847.947786,CF2034F2,3,6,can
1735319865.5870326,CF2034G1,0,7,can
1735319873.2969747,CF2034G2,1,7,can
1735319881.2172859,CF2034H,2,7,can
1735319893.503794,CF2035A,0,1,cannot
1735319907.600961,CF2035B,11,2,cannot
1735319917.5016408,CF2035C,4,3,can
1735319927.2717023,CF2035D,5,4,can
1735319937.1370811,CF2035E,9,5,can
1735319945.2693057,CF2035F,2,5,can
1735319953.3384888,CF2035G1,1,0,can
1735319961.782021,CF2035G2,2,0,can
1735319969.6839032,CF2035H,1,0,can
1735319984.534581,CF2036A,0,1,cannot
1735319998.399739,CF2036B,14,2,cannot
1735320012.0395677,CF2036C,7,2,cannot
1735320027.4367208,CF2036D,3,3,cannot
1735320044.2506278,CF2036E,5,4,cannot
1735320054.5086448,CF2036F,7,4,can
1735320069.1023977,CF2036G,10,4,cannot
1735320081.7581594,CF2037A,0,1,cannot
1735320095.749909,CF2037B,9,1,cannot
